Company Name,Employee Name,Email Address,Salary
ACME Corporation,John Doe,johndoe@acme.com,50000
ACME Corporation,Jane Doe,janedoe@acme.com,55000
ACME Corporation,Bob Smith,bobsmith@acme.com,60000
ACME Corporation,Alice Johnson,alicejohnson@acme.com,65000
ACME Corporation,Mike Wilson,mikewilson@acme.com,52000
ACME Corporation,Sarah Davis,sarahdavis@acme.com,58000
ACME Corporation,Tom Brown,tombrown@acme.com,61000
ACME Corporation,Lisa Garcia,lisagarcia@acme.com,54000
ACME Corporation,David Miller,davidmiller@acme.com,59000
ACME Corporation,Emma Martinez,emmamartinez@acme.com,56000
ACME Corporation,James Anderson,jamesanderson@acme.com,63000
ACME Corporation,Maria Rodriguez,mariarodriguez@acme.com,57000
ACME Corporation,Robert Taylor,roberttaylor@acme.com,62000
ACME Corporation,Jennifer Thomas,jenniferthomas@acme.com,53000
ACME Corporation,William Jackson,williamjackson@acme.com,64000
Stark Industries,Tony Stark,tony@stark.com,100000
Stark Industries,Pepper Potts,pepper@stark.com,75000
Stark Industries,Happy Hogan,happy@stark.com,60000
Stark Industries,Rhodey Rhodes,rhodey@stark.com,80000
Stark Industries,Natasha Romanoff,natasha@stark.com,85000
Stark Industries,Steve Rogers,steve@stark.com,78000
Stark Industries,Bruce Banner,bruce@stark.com,90000
Stark Industries,Clint Barton,clint@stark.com,72000
Stark Industries,Wanda Maximoff,wanda@stark.com,68000
Stark Industries,Vision Android,vision@stark.com,95000
Stark Industries,Sam Wilson,sam@stark.com,70000
Stark Industries,Scott Lang,scott@stark.com,65000
Stark Industries,Hope Van Dyne,hope@stark.com,73000
Stark Industries,Peter Parker,peter@stark.com,45000
Stark Industries,Carol Danvers,carol@stark.com,88000
Wayne Enterprises,Bruce Wayne,bruce@wayneenterprises.com,90000
Wayne Enterprises,Alfred Pennyworth,alfred@wayneenterprises.com,50000
Wayne Enterprises,Dick Grayson,dick@wayneenterprises.com,60000
Wayne Enterprises,Barbara Gordon,barbara@wayneenterprises.com,55000
Wayne Enterprises,Tim Drake,tim@wayneenterprises.com,52000
Wayne Enterprises,Jason Todd,jason@wayneenterprises.com,58000
Wayne Enterprises,Damian Wayne,damian@wayneenterprises.com,48000
Wayne Enterprises,Selina Kyle,selina@wayneenterprises.com,62000
Wayne Enterprises,Jim Gordon,jim@wayneenterprises.com,65000
Wayne Enterprises,Harvey Dent,harvey@wayneenterprises.com,75000
Wayne Enterprises,Lucius Fox,lucius@wayneenterprises.com,85000
Wayne Enterprises,Kate Kane,kate@wayneenterprises.com,67000
Wayne Enterprises,Stephanie Brown,stephanie@wayneenterprises.com,54000
Wayne Enterprises,Cassandra Cain,cassandra@wayneenterprises.com,56000
